"brain__g1"	"heart__g2"	"kidney__g3"	"liver__g4"	"skeletal.muscle.organ__g5"
"ENSGALG00000005076"	400	19	8	3	25
"ENSGALG00000005077"	2	1367	269	247	107
"ENSGALG00000005083"	1	1	1471	6	1
"ENSGALG00000005084"	2431	297	657	172	135
"ENSGALG00000005086"	81	49	347	73	31
"ENSGALG00000005087"	3	2	264	4	0
"ENSGALG00000005088"	354	326	48	37	838
"ENSGALG00000005092"	829	145	226	130	141
"ENSGALG00000005099"	5	14	3	42073	6
"ENSGALG00000005102"	1693	43	109	59	252
"ENSGALG00000005103"	813	70	83	87	430
"ENSGALG00000005123"	376	4	2	5	0
"ENSGALG00000005128"	284	58	28	13	48
"ENSGALG00000005135"	2432	815	655	66	182
"ENSGALG00000005140"	97	1064	247	17	74
"ENSGALG00000005145"	443	5	11	1	15
"ENSGALG00000005147"	226	804	305	2819	820
"ENSGALG00000005156"	415	115	73	42	42
"ENSGALG00000005180"	463	37	6	1	7
"ENSGALG00000005188"	231	29	654	28	14
"ENSGALG00000005203"	700	143	157	27	26
"ENSGALG00000005207"	2	2664	1	1	2311
"ENSGALG00000005208"	1633	751	279	214	156
"ENSGALG00000005209"	1728	970	65	108	39
"ENSGALG00000005215"	340	62	59	4	0
"ENSGALG00000005217"	349	39	71	207	16
"ENSGALG00000005223"	1751	72	1	0	0
"ENSGALG00000005226"	0	5	0	0	27269
"ENSGALG00000005243"	2753	292	313	123	482
"ENSGALG00000005256"	1046	103	198	31	6
"ENSGALG00000005258"	332	2	1	5	5
"ENSGALG00000005263"	414	64	2	15	93
"ENSGALG00000005265"	405	5	20	0	8
"ENSGALG00000005266"	253	8	61	20	40
"ENSGALG00000005284"	3	125	14	0	491
"ENSGALG00000005292"	11	13	1	1	973
"ENSGALG00000005297"	183	264	8	9	1786
"ENSGALG00000005298"	1437	574	113	23	339
"ENSGALG00000005299"	594	311	4862	203	71
"ENSGALG00000005309"	1418	226	3399	1118	46
"ENSGALG00000005315"	1243	130	203	82	67
"ENSGALG00000005319"	622	14	13	0	23
"ENSGALG00000005331"	568	89	65	0	53
"ENSGALG00000005332"	1161	14	277	49	13
"ENSGALG00000005346"	182	248	782	97	89
"ENSGALG00000005352"	1	1956	114	388	5
"ENSGALG00000005359"	695	328	149	75	17
"ENSGALG00000005360"	411	1421	28	676	60
"ENSGALG00000005363"	67	55	1883	260	32
"ENSGALG00000005369"	1230	197	170	59	181
"ENSGALG00000005379"	1066	97	100	548	10
"ENSGALG00000005398"	4100	927	11737	1431	1130
"ENSGALG00000005400"	497	0	2	0	7
"ENSGALG00000005403"	189	178	798	10	28
"ENSGALG00000005407"	505	813	192	692	23289
"ENSGALG00000005408"	48	74	806	902	10
"ENSGALG00000005412"	799	111	138	63	107
"ENSGALG00000005414"	61	116	2556	545	71
"ENSGALG00000005419"	592	5	0	0	0
"ENSGALG00000005421"	569	3	19	12	2
"ENSGALG00000005422"	285	1877	326	209	187
"ENSGALG00000005423"	329	203	796	2084	146
"ENSGALG00000005426"	139	231	602	39	96
"ENSGALG00000005439"	2030	1400	1858	14596	447
"ENSGALG00000005442"	102	397	78	1194	96
"ENSGALG00000005448"	0	62986	17	2	30
"ENSGALG00000005458"	5	41	10	2	10704
"ENSGALG00000005460"	260	36	155	1649	10
"ENSGALG00000005470"	594	13	79	61	12
"ENSGALG00000005474"	201	15	1748	554	14
"ENSGALG00000005476"	16	16	1223	158	3
"ENSGALG00000005478"	204	107	458	44	27
"ENSGALG00000005493"	3	142	8	1	1621
"ENSGALG00000005503"	82	306	68	17	454
"ENSGALG00000005504"	1	0	1788	37	0
"ENSGALG00000005505"	240	140	1382	87	49
"ENSGALG00000005509"	343	45	1577	580	18
"ENSGALG00000005516"	327	161	6469	109	133
"ENSGALG00000005517"	123	15	712	18	12
"ENSGALG00000005519"	58	5	562	21	14
"ENSGALG00000005524"	540	6	0	1223	20
"ENSGALG00000005537"	45	1	1	5	960
"ENSGALG00000005541"	31	8	1665	1388	1
"ENSGALG00000005547"	115	47	983	429	29
"ENSGALG00000005551"	2059	8519	415	60	130
"ENSGALG00000005553"	2282	67	4	216	4
"ENSGALG00000005554"	45	4791	84	16	513
"ENSGALG00000005582"	1926	333	521	246	432
"ENSGALG00000005584"	676	149	380	15	97
"ENSGALG00000005589"	7383	97	258	155	29
"ENSGALG00000005594"	1667	16	29	19	6
"ENSGALG00000005613"	1	0	34	4	434
"ENSGALG00000005619"	651	69	20	10	22
"ENSGALG00000005621"	20307	303	2	1	310
"ENSGALG00000005631"	4813	44	63	17	17
"ENSGALG00000005632"	255	62	354	17	16
"ENSGALG00000005648"	609	171	81	24	18
"ENSGALG00000005649"	39	50	619	70	19
"ENSGALG00000005661"	413	0	0	0	0
"ENSGALG00000005672"	383	0	0	0	0
"ENSGALG00000005675"	440	547	2734	146	50
"ENSGALG00000005684"	319	45	75	36	60
"ENSGALG00000005689"	1	2	2527	0	2
"ENSGALG00000005708"	5	6	8	576	0
"ENSGALG00000005713"	5049	226	381	262	61
"ENSGALG00000005721"	2943	59	49	8	10
"ENSGALG00000005737"	2914	318	392	229	353
"ENSGALG00000005739"	2327	789	1871	38455	480
"ENSGALG00000005754"	7	2	5	5	283
"ENSGALG00000005757"	638	319	596	2024	136
"ENSGALG00000005763"	108	3	8524	101	1
"ENSGALG00000005774"	2046	389	60	28	91
"ENSGALG00000005790"	24	47	370	4	4
"ENSGALG00000005795"	3	5	765	1917	4
"ENSGALG00000005797"	52	621	178	2	166
"ENSGALG00000005801"	1136	18	62	1	7
"ENSGALG00000005805"	1506	540	162	412	128
"ENSGALG00000005821"	549	108	69	18	46
"ENSGALG00000005822"	782	13	3	0	10
"ENSGALG00000005824"	5	0	1521	3	1
"ENSGALG00000005839"	0	0	260	34	0
"ENSGALG00000005843"	23651	34779	55	6	56250
"ENSGALG00000005845"	4065	1148	226	508	5028
"ENSGALG00000005852"	8	12	278	6	9
"ENSGALG00000005853"	637	2	21	0	0
"ENSGALG00000005860"	550	484	3927	1736	177
"ENSGALG00000005861"	925	32	24	29	5
"ENSGALG00000005886"	1848	143	28	7	82
"ENSGALG00000005888"	1067	242	419	344	2983
"ENSGALG00000005896"	552	0	1280	0	0
"ENSGALG00000005903"	2119	4	11	0	3
"ENSGALG00000005909"	40	180	711	33	34
"ENSGALG00000005928"	24	2	254	2	1
"ENSGALG00000005932"	400	1	0	0	0
"ENSGALG00000005933"	190	4	1558	40	0
"ENSGALG00000005971"	1064	20	23	20	20
"ENSGALG00000005972"	54	119	46	57	675
"ENSGALG00000005974"	106	4781	526	327	1105
"ENSGALG00000005976"	951	157	208	116	70
"ENSGALG00000005977"	1922	66	45	36	73
"ENSGALG00000005982"	1919	238	209	83	249
"ENSGALG00000005986"	1826	81	47	9	32
"ENSGALG00000005995"	396	2	2820	15	7
"ENSGALG00000005996"	8	508	26	10	2435
"ENSGALG00000006009"	6106	4271	54	4	101
"ENSGALG00000006018"	3	7	213	553	1
"ENSGALG00000006019"	852	12	5	1	2
"ENSGALG00000006025"	8	8311	1777	26	4365
"ENSGALG00000006034"	1156	357	102	36	110
"ENSGALG00000006045"	611	19	37	13	9
"ENSGALG00000006048"	504	236	48	11	63
"ENSGALG00000006053"	182	11	1945	27	8
"ENSGALG00000006064"	277	256	15	16	66
"ENSGALG00000006069"	108	708	40	15	1746
"ENSGALG00000006076"	336	76	40	3	78
"ENSGALG00000006078"	439	87	229	66	21
"ENSGALG00000006087"	414	3	31	0	0
"ENSGALG00000006108"	1818	300	469	166	293
"ENSGALG00000006112"	41	1214	1	7	0
"ENSGALG00000006122"	92	54	445	115	27
"ENSGALG00000006127"	1752	400	568	247	202
"ENSGALG00000006130"	5887	90	122	15	12
"ENSGALG00000006131"	0	0	1699	3090	0
"ENSGALG00000006134"	3	7	8474	44	3
"ENSGALG00000006137"	280	40	548	27	97
"ENSGALG00000006149"	710	429	2595	351	242
"ENSGALG00000006152"	782	191	59	85	15
"ENSGALG00000006161"	507	172	1201	183	159
"ENSGALG00000006165"	97	29	594	75	15
"ENSGALG00000006173"	130	57	2273	659	7
"ENSGALG00000006175"	15	2	820	15	0
"ENSGALG00000006180"	1497	296	339	165	125
"ENSGALG00000006188"	209	159	1283	217	149
"ENSGALG00000006190"	65	897	58	21	208
"ENSGALG00000006192"	303	0	744	137	0
"ENSGALG00000006198"	633	73	932	2598	171
"ENSGALG00000006202"	94	10	1775	4	6
"ENSGALG00000006203"	413	32	25	0	2
"ENSGALG00000006216"	7	6	1	1	1134
"ENSGALG00000006217"	374	6	3	1	4
"ENSGALG00000006220"	866	0	9	1	33
"ENSGALG00000006221"	34681	385	142	8	11
"ENSGALG00000006233"	597	128	1905	124	25
"ENSGALG00000006236"	1201	13	7	1	91
"ENSGALG00000006258"	2157	8	16	0	1
"ENSGALG00000006260"	3	123	3	5	356
"ENSGALG00000006270"	146	21	628	20	34
"ENSGALG00000006272"	1884	19	36	7	10
"ENSGALG00000006273"	2	4	3	1	6998
"ENSGALG00000006290"	363	0	0	0	0
"ENSGALG00000006300"	2305	561	1787	1518	250108
"ENSGALG00000006306"	13	7	127	1701	0
"ENSGALG00000006320"	2	2	1041	173	4
"ENSGALG00000006325"	328	29	30	12	15
"ENSGALG00000006341"	12	0	2202	44	0
"ENSGALG00000006344"	10	1964	30	1446	318
"ENSGALG00000006346"	3192	2	6	0	72
"ENSGALG00000006368"	482	3	1	19	2
"ENSGALG00000006382"	203	27	834	153	14
"ENSGALG00000006406"	898	0	0	2	0
"ENSGALG00000006413"	410	64	18	366	4
"ENSGALG00000006421"	89	5	525	312	0
"ENSGALG00000006445"	3613	41	288	12	12
"ENSGALG00000006453"	15400	347	2909	133789	80
"ENSGALG00000006454"	4	1	906	266	0
"ENSGALG00000006456"	2014	604	42	0	361
"ENSGALG00000006469"	13	2	376	2	1
"ENSGALG00000006471"	87	88	717	498	16
"ENSGALG00000006473"	1253	352	31	754	22
"ENSGALG00000006482"	23	6	2560	2679	4
"ENSGALG00000006490"	5229	197	172	20	16
"ENSGALG00000006491"	11	1050	5	3	5610
"ENSGALG00000006494"	2452	471	3547	194	247
"ENSGALG00000006508"	815	10	7	0	1525
"ENSGALG00000006513"	2	1	0	4353	0
"ENSGALG00000006516"	77	71	165	727	14
"ENSGALG00000006544"	25	17	50	11	1157
"ENSGALG00000006560"	492	10	31	5	55
"ENSGALG00000006562"	1915	99	95	53	725
"ENSGALG00000006565"	725	53	7275	20	19
"ENSGALG00000006567"	406	152	17	56	53
"ENSGALG00000006572"	13	27	10	2	230507
"ENSGALG00000006576"	3899	7	6	0	3
"ENSGALG00000006584"	823	129	176	99	39
"ENSGALG00000006588"	1183	14	317	2	6
"ENSGALG00000006591"	7	3	8	0	171895
"ENSGALG00000006604"	1406	257	532	220	128
"ENSGALG00000006627"	44	8	6171	2542	12
"ENSGALG00000006629"	8	5	2	11565	13
"ENSGALG00000006633"	129	21	365	75	2
"ENSGALG00000006635"	3	0	4143	0	3
"ENSGALG00000006638"	392	73	28	124	11
"ENSGALG00000006644"	3111	10	5	15	48
"ENSGALG00000006676"	288	43	8	1	2
"ENSGALG00000006681"	1912	4	60	12	9
"ENSGALG00000006695"	1942	324	527	149	69
"ENSGALG00000006697"	2879	555	749	278	291
"ENSGALG00000006710"	170	0	255	1	2
"ENSGALG00000006715"	226	299	1172	1801	106
"ENSGALG00000006717"	286	1	952	0	45
"ENSGALG00000006719"	1525	3	3	4	7
"ENSGALG00000006725"	279	84	0	0	4
"ENSGALG00000006728"	17	12	2001	27	4
"ENSGALG00000006743"	10813	1491	313	88	803
"ENSGALG00000006749"	1392	250	380	235	216
"ENSGALG00000006751"	29756	590	229	39	154
"ENSGALG00000006756"	107	159	193	703	32
"ENSGALG00000006775"	185	3359	2143	534	444
"ENSGALG00000006776"	417	10	12	7	17
"ENSGALG00000006779"	92	41	1071	40	4
"ENSGALG00000006780"	3980	621	892	424	130
"ENSGALG00000006792"	377	16	60	6	3
"ENSGALG00000006795"	1670	14	28	31	4
"ENSGALG00000006797"	585	0	0	0	0
"ENSGALG00000006799"	10066	974	1799	518	698
"ENSGALG00000006812"	0	1	3301	1972	0
"ENSGALG00000006822"	1514	398	66	15	51
"ENSGALG00000006833"	270	7	22	14491	14
"ENSGALG00000006835"	2	8	2	0	87198
"ENSGALG00000006842"	346	507	4973	687	195
"ENSGALG00000006851"	920	16	290	0	25
"ENSGALG00000006855"	521	53	2295	890	37
"ENSGALG00000006860"	1093	148	171	76	96
"ENSGALG00000006864"	185	17	498	46	14
"ENSGALG00000006872"	922	191	187	205	101
"ENSGALG00000006876"	1689	1158	6385	2102	360
"ENSGALG00000006877"	759	7	183	27	5
"ENSGALG00000006882"	318	217	2	0	30
"ENSGALG00000006886"	381	65	75	6	20
"ENSGALG00000006901"	5461	116	107	50	26
"ENSGALG00000006939"	5645	1012	554	110	81
"ENSGALG00000006947"	4834	11655	2242	75	625
"ENSGALG00000006968"	50	32	911	783	10
"ENSGALG00000006973"	104	30	484	187	14
"ENSGALG00000006976"	624	506	2851	98	82
"ENSGALG00000006995"	497	39	102	2	28
"ENSGALG00000006997"	3419	6	9	111	2
"ENSGALG00000007007"	339	5	5	0	8
"ENSGALG00000007014"	12	56	4147	95	0
"ENSGALG00000007025"	473	53	92	113	22
"ENSGALG00000007027"	108	117	729	405	37
"ENSGALG00000007038"	1307	66	16	3	2
"ENSGALG00000007045"	532	68	18	12	45
"ENSGALG00000007048"	419	531	391	97	2686
"ENSGALG00000007072"	421	1198	5736	656	307
"ENSGALG00000007076"	455	60	115	112	20
"ENSGALG00000007078"	630	323	2540	104	45
"ENSGALG00000007080"	25	9	3424	1733	3
"ENSGALG00000007090"	199	40	6305	1020	173
"ENSGALG00000007109"	3	4	1811	6838	0
"ENSGALG00000007110"	5	15	1	0	670
"ENSGALG00000007114"	6812	7610	76978	161451	1387
"ENSGALG00000007116"	1036	8	11	1	8
"ENSGALG00000007127"	2820	141	116	5491	123
"ENSGALG00000007132"	120	90	2156	1463	647
"ENSGALG00000007140"	487	1556	4999	189	203
"ENSGALG00000007141"	1448	160	224	181	51
"ENSGALG00000007178"	12575	665	1735	27091	691
"ENSGALG00000007184"	382	7	4	3	1
"ENSGALG00000007193"	836	164	83	68	117
"ENSGALG00000007211"	2174	2	40	2	1
"ENSGALG00000007218"	433	37	224	27	41
"ENSGALG00000007226"	45	285	23	0	2
"ENSGALG00000007234"	830	169	3198	323	124
"ENSGALG00000007242"	441	0	3	0	1
"ENSGALG00000007251"	439	279	2174	738	150
"ENSGALG00000007252"	278	14	12	25	6
"ENSGALG00000007268"	4934	24	22	1	3
"ENSGALG00000007269"	786	2	1	0	0
"ENSGALG00000007278"	1297	3	2	1	3
"ENSGALG00000007284"	9865	13	3	0	15
"ENSGALG00000007298"	6346	756	926	531	267
"ENSGALG00000007304"	240	150	1717	679	57
"ENSGALG00000007305"	390	16	5	0	12
"ENSGALG00000007314"	935	6	113	0	0
"ENSGALG00000007319"	271	3	1	3	0
"ENSGALG00000007320"	0	83	9392	24	7
"ENSGALG00000007331"	519	7093	970	477	4315
"ENSGALG00000007332"	794	64	179	46	9
"ENSGALG00000007334"	4527	119	4526	723	276
"ENSGALG00000007349"	385	68	38	42	153
"ENSGALG00000007354"	6835	96	9	7	24
"ENSGALG00000007358"	114	412	25	5	554
"ENSGALG00000007361"	1238	0	1	0	0
"ENSGALG00000007381"	599	2080	11740	16121	258
"ENSGALG00000007382"	286	19	1324	393	19
"ENSGALG00000007383"	183	1981	88	8	2503
"ENSGALG00000007395"	23	17	1757	2345	13
"ENSGALG00000007412"	19	27	690	18	8
"ENSGALG00000007419"	48	17	855	1089	2
"ENSGALG00000007441"	4258	13	14	2	57
"ENSGALG00000007443"	203	521	3607	340	359
"ENSGALG00000007462"	895	659	7986	1640	414
"ENSGALG00000007466"	12	15	341	482	7
"ENSGALG00000007478"	4	34	3628	4065	8
"ENSGALG00000007489"	872	38	67	35	7
"ENSGALG00000007503"	2	0	1795	2245	2
"ENSGALG00000007508"	129	497	50	23	48
"ENSGALG00000007522"	198	202	797	91	28
"ENSGALG00000007536"	68	59	491	42	10
"ENSGALG00000007565"	2519	385	113	21	51
"ENSGALG00000007582"	952	921	190	57	106
"ENSGALG00000007585"	203	251	3277	742	136
"ENSGALG00000007593"	1171	41	16	12	9
"ENSGALG00000007594"	9	495	89	8	1792
"ENSGALG00000007596"	86	7	6921	1656	14
"ENSGALG00000007606"	11625	7343	10424	9715	166315
"ENSGALG00000007608"	8832	946	318	68	102
"ENSGALG00000007609"	553	150	55	12	43
"ENSGALG00000007620"	19	2	4	1412	5
"ENSGALG00000007623"	3848	26	22	6	23
"ENSGALG00000007631"	275	5	9	1	2
"ENSGALG00000007636"	7	2	59921	329	15
"ENSGALG00000007650"	648	110	4550	1356	119
"ENSGALG00000007652"	388	448	5338	1082	140
"ENSGALG00000007666"	2617	2	2	0	0
"ENSGALG00000007667"	1929	8	101	0	25
"ENSGALG00000007668"	39	296	30	4	39
"ENSGALG00000007687"	4261	677	928	326	1113
"ENSGALG00000007691"	237	44	589	13	12
"ENSGALG00000007701"	77	7	396	17	1
"ENSGALG00000007703"	55	307	889	252	22
"ENSGALG00000007720"	1677	23	10	4	3
"ENSGALG00000007732"	872	9	5	0	0
"ENSGALG00000007740"	1291	13	7	2	0
"ENSGALG00000007748"	1590	331	5942	1846	30
"ENSGALG00000007755"	1394	14	173	4	3
"ENSGALG00000007759"	2453	42	25	0	19
"ENSGALG00000007777"	820	54	45	27	40
"ENSGALG00000007786"	653	6	62	2	292
"ENSGALG00000007793"	513	102	138	56	100
"ENSGALG00000007796"	993	17	13	1	2
"ENSGALG00000007808"	2058	183	825	215	114
"ENSGALG00000007819"	131	176	160	10	1296
"ENSGALG00000007825"	280	14	20	19	5
"ENSGALG00000007833"	156	29	712	42	6
"ENSGALG00000007839"	10208	2299	328	37	369
"ENSGALG00000007840"	41	0	14	1178	2
"ENSGALG00000007848"	159	16	525	247	18
"ENSGALG00000007862"	724	10	18	1	6
"ENSGALG00000007867"	557	47	36	6	37
"ENSGALG00000007868"	182	10	972	3	5
"ENSGALG00000007912"	2032	65	139	130	6
"ENSGALG00000007929"	1067	116	65	17	38
"ENSGALG00000007936"	6340	2188	10598	4775	92121
"ENSGALG00000007948"	1320	8	57	4	29
"ENSGALG00000007955"	56	16	526	467	6
"ENSGALG00000007964"	48	68	2658	21	10
"ENSGALG00000007979"	26	59	3214	553	433
"ENSGALG00000007980"	448	4	36	0	3
"ENSGALG00000007993"	623	25	7	0	19
"ENSGALG00000007996"	1513	295	344	270	98
"ENSGALG00000008007"	688	210	68	22	89
"ENSGALG00000008014"	41	309	207	1132	39
"ENSGALG00000008032"	2746	2	19	7	7
"ENSGALG00000008040"	32	1559	3112	1392	39
"ENSGALG00000008043"	3363	70	40	9	66
"ENSGALG00000008049"	1075	121	302	76	100
"ENSGALG00000008055"	633	0	1	0	1
"ENSGALG00000008056"	885	132	173	137	102
"ENSGALG00000008060"	461	25	22	18	3
"ENSGALG00000008072"	758	110	61	35	26
"ENSGALG00000008077"	47	183	1084	8	7
"ENSGALG00000008080"	3881	6	2	0	14
"ENSGALG00000008085"	1761	29	3	3	3
"ENSGALG00000008088"	1357	190	245	89	139
"ENSGALG00000008095"	30	124	802	31	44
"ENSGALG00000008096"	612	322	2216	515	203
"ENSGALG00000008098"	298	245	520	450	2594
"ENSGALG00000008100"	50	13	9	10	340
"ENSGALG00000008113"	377	79	657	5	21
"ENSGALG00000008114"	109	65	6922	448	49
"ENSGALG00000008133"	133	199	1783	411	42
"ENSGALG00000008135"	795	0	437	1	2
"ENSGALG00000008136"	609	58	43	46	93
"ENSGALG00000008139"	824	68	1144	192	37
"ENSGALG00000008148"	6	33623	7	0	66
"ENSGALG00000008154"	1690	274	158	43	65
"ENSGALG00000008160"	489	153	1523	177	24
"ENSGALG00000008177"	952	118	445	1	115
"ENSGALG00000008181"	3835	198	249	208	95
"ENSGALG00000008185"	53	475	4384	7	481
"ENSGALG00000008193"	1684	112	30	601	17
"ENSGALG00000008198"	178	58	319	34	27
"ENSGALG00000008204"	120	104	123	88	822
"ENSGALG00000008206"	397	125	23	13	6
"ENSGALG00000008217"	458	90	100	67	26
"ENSGALG00000008222"	219	109	78	2462	264
"ENSGALG00000008233"	23	82	66	280	38
"ENSGALG00000008253"	0	1557	3	0	11
"ENSGALG00000008255"	1076	121	209	33	129
"ENSGALG00000008262"	7346	115	73	4	21
"ENSGALG00000008263"	2061	19	13	0	4
"ENSGALG00000008281"	1559	36	457	25	15
"ENSGALG00000008294"	4533	694	881	111	270
"ENSGALG00000008298"	27	428	10	1	89
"ENSGALG00000008302"	747	789	4336	1097	494
"ENSGALG00000008313"	10979	88	142	122	54
"ENSGALG00000008317"	56	9	3609	271	0
"ENSGALG00000008319"	1135	1144	6579	2625	219
"ENSGALG00000008325"	2732	645	804	267	464
"ENSGALG00000008326"	815	48	57	14	22
"ENSGALG00000008332"	54	41	1409	27650	21
"ENSGALG00000008337"	112	148	2419	949	21
"ENSGALG00000008349"	291	2217	1013	99	51
"ENSGALG00000008351"	2	420	14	0	2221
"ENSGALG00000008352"	2789	3	5	1	18
"ENSGALG00000008359"	85	495	78	28	74
"ENSGALG00000008365"	1293	51	28	33	7
"ENSGALG00000008367"	897	28	379	22	12
"ENSGALG00000008368"	164	79	471	75	40
"ENSGALG00000008378"	3708	217	843	52	80
"ENSGALG00000008382"	953	170	198	32	65
"ENSGALG00000008385"	1253	186	1756	136	139
"ENSGALG00000008386"	306	43	147	39	10
"ENSGALG00000008418"	168	467	5400	401	507
"ENSGALG00000008420"	274	945	195	204	4974
"ENSGALG00000008425"	19764	1114	903	94	1804
"ENSGALG00000008428"	5	1	272	0	6
"ENSGALG00000008431"	1466	206	338	172	132
"ENSGALG00000008434"	561	21	15	4	6
"ENSGALG00000008437"	757	1528	10042	247	616
"ENSGALG00000008439"	3	2743	66	1150	32
"ENSGALG00000008440"	1242	8	0	0	2
"ENSGALG00000008442"	1315	18	5	0	10
"ENSGALG00000008445"	1037	39	45	15	15
"ENSGALG00000008456"	3457	6	11	0	0
"ENSGALG00000008460"	1349	183	903	170	114
"ENSGALG00000008465"	642	16	131	1	13
"ENSGALG00000008469"	67	125	2101	444	73
"ENSGALG00000008504"	1375	255	279	96	242
"ENSGALG00000008508"	3238	10915	577	228	42
"ENSGALG00000008525"	3185	607	1298	424	104
"ENSGALG00000008542"	3645	1575	1252	172	310
"ENSGALG00000008544"	2032	6651	464	20	21
"ENSGALG00000008552"	6	12	1160	6	4
"ENSGALG00000008553"	648	446	3049	500	402
"ENSGALG00000008563"	934	95	464	79	184
"ENSGALG00000008582"	1429	102	34	85	59
"ENSGALG00000008586"	20615	3154	3700	2506	3698
"ENSGALG00000008591"	1199	925	35	18	16
"ENSGALG00000008593"	170	144	10	5	5812
"ENSGALG00000008601"	29	66	0	121928	116
"ENSGALG00000008602"	595	1	0	0	0
"ENSGALG00000008604"	2445	219	187	153	3439
"ENSGALG00000008608"	6	1	153	6472	4
"ENSGALG00000008623"	182	131	972	403	7
"ENSGALG00000008627"	1544	368	265	98	136
"ENSGALG00000008628"	740	0	2	2	0
"ENSGALG00000008629"	16	32	5	422	41
"ENSGALG00000008631"	12470	282	3578	1141	130
"ENSGALG00000008646"	5	3	263	10492	9
"ENSGALG00000008659"	56	526	8	4	2546
"ENSGALG00000008663"	705	35	1119	12	2
"ENSGALG00000008667"	14940	2594	7633	2326	777
"ENSGALG00000008671"	148	20	96	1	328
"ENSGALG00000008676"	745	458	895	5169	266
"ENSGALG00000008677"	2883	4685	1037	172	14269
"ENSGALG00000008681"	1363	161	167	136	34
"ENSGALG00000008701"	16	26	3639	12291	8
"ENSGALG00000008704"	51	64	16782	8	90
"ENSGALG00000008714"	4258	834	705	229	613
"ENSGALG00000008716"	471	16	31	6	20
"ENSGALG00000008722"	6	3	648	2392	5
"ENSGALG00000008728"	41	93	5795	347	483
"ENSGALG00000008731"	154	19	445	17	9
"ENSGALG00000008734"	4656	106	128	14	15
"ENSGALG00000008739"	838	124	179	65	34
"ENSGALG00000008744"	2889	89	517	72	91
"ENSGALG00000008752"	67	84	441	220	29
"ENSGALG00000008757"	1513	71	22	39	18
"ENSGALG00000008759"	170	23	379	19	17
"ENSGALG00000008764"	1230	230	284	56	75
"ENSGALG00000008778"	665	174	211	63	57
"ENSGALG00000008780"	127	108	888	329	23
"ENSGALG00000008805"	0	1894	0	0	4
"ENSGALG00000008811"	1063	42	2082	23	16
"ENSGALG00000008814"	1	97	1	0	754
"ENSGALG00000008827"	92	86	1082	539	34
"ENSGALG00000008840"	36	41	128	3353	18
"ENSGALG00000008845"	36	10	2243	1191	9
"ENSGALG00000008850"	880	264	59	14	296
"ENSGALG00000008860"	1444	165	428	239	181
"ENSGALG00000008864"	1464	1964	1122	469	6685
"ENSGALG00000008874"	10	0	553	0	0
"ENSGALG00000008875"	5910	176	191	48	446
"ENSGALG00000008885"	1253	22	439	7	10
"ENSGALG00000008888"	268	44	17	1	10
"ENSGALG00000008898"	19214	2	0	0	11
"ENSGALG00000008902"	26	28	374	112	51
"ENSGALG00000008905"	26	14	0	8454	25
"ENSGALG00000008907"	416	155	118	12	32
"ENSGALG00000008909"	33	1700	15	11	2487
"ENSGALG00000008911"	529	160	14	8	5
"ENSGALG00000008912"	11	11	2	476	0
"ENSGALG00000008914"	20	1832	5	301	3616
"ENSGALG00000008918"	1262	39	21	1	8
"ENSGALG00000008926"	1004	43	278	8	13
"ENSGALG00000008930"	1314	203	293	106	13
"ENSGALG00000008932"	10	12	194	710	0
"ENSGALG00000008936"	48	100	589	666	13
"ENSGALG00000008945"	129	5524	43	7	7304
"ENSGALG00000008947"	1252	71	68	1	1
"ENSGALG00000008950"	49	550	98	16	31
"ENSGALG00000008951"	324	26	52	17	25
"ENSGALG00000008954"	442	15	23	28	4
"ENSGALG00000008960"	368	0	12	1	0
"ENSGALG00000008969"	18	1	2135	487	1
"ENSGALG00000008976"	1254	97	14	5	16
"ENSGALG00000009003"	22211	205	5	1	22
"ENSGALG00000009020"	247	264	964	74	88
"ENSGALG00000009021"	812	47	14	11	17
"ENSGALG00000009024"	659	206	119	131	1730
"ENSGALG00000009028"	2774	241	397	62	139
"ENSGALG00000009029"	146	106	242	1366	105
"ENSGALG00000009031"	1838	641	211	125	297
"ENSGALG00000009048"	561	2078	881	240	73
"ENSGALG00000009050"	7	32	1	3	3975
"ENSGALG00000009052"	626	3392	1665	139	257
"ENSGALG00000009062"	1044	103	104	5	45
"ENSGALG00000009063"	533	57	91	32	27
"ENSGALG00000009070"	801	1692	8075	2378	819
"ENSGALG00000009075"	1518	429	125	83	714
"ENSGALG00000009078"	161	14	995	2	4
"ENSGALG00000009081"	289	5750	182	85	9515
"ENSGALG00000009107"	9790	31	29	404	961
"ENSGALG00000009134"	2070	138	50	10	1129
"ENSGALG00000009152"	1348	47	185	17	49
"ENSGALG00000009192"	760	131	156	89	175
"ENSGALG00000009205"	1290	63	43	22	32
"ENSGALG00000009207"	1245	323	37	65	472
"ENSGALG00000009219"	649	7	19	4	34
"ENSGALG00000009248"	1627	91	20	4	11
"ENSGALG00000009252"	3586	1046	741	430	84
"ENSGALG00000009262"	30	33	1971	78996	59
"ENSGALG00000009266"	14	43	646	106548	53
"ENSGALG00000009268"	17	26	16	61178	74
"ENSGALG00000009279"	519	42	127	135	4
"ENSGALG00000009280"	387	50	8	0	9
"ENSGALG00000009292"	205	332	1010	163	15
"ENSGALG00000009293"	10635	281	135	76	114
"ENSGALG00000009298"	4892	708	176	113	990
"ENSGALG00000009302"	52	0	721	0	2
"ENSGALG00000009304"	1391	235	836	122	110
"ENSGALG00000009306"	5	5	1146	1648	0
