"brain__g1"	"heart__g2"	"kidney__g3"	"liver__g4"	"skeletal.muscle.organ__g5"
"ENSGALG00000001334"	10045	1799	3174	995	811
"ENSGALG00000001342"	909	46	9	3	22
"ENSGALG00000001343"	13	1132	4	25	0
"ENSGALG00000001369"	11	3	1412	3283	1
"ENSGALG00000001389"	452	48	90	21	58
"ENSGALG00000001391"	556	5	10	0	4
"ENSGALG00000001405"	58	1	853	157	1
"ENSGALG00000001407"	244	544	26	64	66
"ENSGALG00000001416"	27	18	685	1080	10
"ENSGALG00000001425"	990	145	236	130	35
"ENSGALG00000001437"	2274	53	35	101	6
"ENSGALG00000001441"	807	516	714	426	5653
"ENSGALG00000001442"	5202	17	118	5	18
"ENSGALG00000001446"	1779	17010	789	118	2087
"ENSGALG00000001449"	166	1	1030	1	0
"ENSGALG00000001450"	3616	95	45	1	2
"ENSGALG00000001459"	133	34776	2035	863	57007
"ENSGALG00000001470"	1212	134	238	80	22
"ENSGALG00000001475"	9040	800	412	165	417
"ENSGALG00000001483"	1413	697	450	107	68
"ENSGALG00000001492"	5486	406	3045	374	450
"ENSGALG00000001501"	4562	635	1202	255	1516
"ENSGALG00000001512"	698	57	30	0	10
"ENSGALG00000001521"	1939	270	644	403	204
"ENSGALG00000001531"	379	97	1516	124	34
"ENSGALG00000001534"	553	3	106	0	1
"ENSGALG00000001557"	585	876	5817	414	409
"ENSGALG00000001564"	7552	312	139	160	49
"ENSGALG00000001565"	8	12	624	5282	4
"ENSGALG00000001586"	88	73	474	119	21
"ENSGALG00000001608"	785	87	3	14	2
"ENSGALG00000001610"	1381	315	242	125	432
"ENSGALG00000001611"	1511	26	7	2	9
"ENSGALG00000001617"	1294	359	155	39	1
"ENSGALG00000001621"	595	141	138	34	40
"ENSGALG00000001633"	575	1540	88	23	94
"ENSGALG00000001645"	3162	17	16	18	446
"ENSGALG00000001661"	6	17	16741	1	1
"ENSGALG00000001678"	360	423	419	170	4621
"ENSGALG00000001688"	20829	1182	450	311	597
"ENSGALG00000001690"	2512	0	5	0	7
"ENSGALG00000001692"	3225	386	192	107	943
"ENSGALG00000001693"	55	110	410	98	52
"ENSGALG00000001697"	2	3	0	7904	14
"ENSGALG00000001698"	3103	1	2	1	5
"ENSGALG00000001709"	68	1146	184	39	199
"ENSGALG00000001716"	450	7	0	0	158
"ENSGALG00000001727"	4113	32	32	5	17
"ENSGALG00000001728"	940	172	277	81	63
"ENSGALG00000001740"	761	93	143	146	22
"ENSGALG00000001741"	6891	817	1175	294	518
"ENSGALG00000001768"	2487	276	144	79	41
"ENSGALG00000001774"	3130	530	839	95	237
"ENSGALG00000001779"	256	46	55	18	24
"ENSGALG00000001780"	29	24	33	3630	8
"ENSGALG00000001790"	36	36	372	85	47
"ENSGALG00000001793"	3	46421	22	1	44
"ENSGALG00000001797"	421	392	55	29	28
"ENSGALG00000001812"	6778	57	3	4	57
"ENSGALG00000001824"	17	9	49	355	4
"ENSGALG00000001841"	952	108	605	53	94
"ENSGALG00000001849"	10836	89	148	71	19
"ENSGALG00000001864"	843	80	94	41	211
"ENSGALG00000001869"	267	0	0	0	0
"ENSGALG00000001885"	0	0	327	0	0
"ENSGALG00000001892"	1190	274	195	11	82
"ENSGALG00000001900"	5680	3	0	0	2
"ENSGALG00000001912"	301	0	0	0	6
"ENSGALG00000001916"	697	668	88	8	8
"ENSGALG00000001926"	31	6826	70	16	2273
"ENSGALG00000001932"	296	1	0	0	0
"ENSGALG00000001936"	2	0	304	2	20
"ENSGALG00000001944"	167	93	410	78	14
"ENSGALG00000001968"	587	15	5	3	15
"ENSGALG00000001977"	35	6603	12	145	28645
"ENSGALG00000001981"	3051	399	347	70	247
"ENSGALG00000001992"	19805	7131	4066	469	240711
"ENSGALG00000001994"	1	0	356	0	3
"ENSGALG00000002008"	586	19	237	1	0
"ENSGALG00000002012"	120	471	112	18	132
"ENSGALG00000002015"	329	10	10	3	5
"ENSGALG00000002016"	777	107	618	103	37
"ENSGALG00000002028"	128	39	41	19	753
"ENSGALG00000002038"	149	71	59	62	527
"ENSGALG00000002082"	8	16	10	4	19473
"ENSGALG00000002086"	651	292	1	1	0
"ENSGALG00000002098"	525	0	6	0	1
"ENSGALG00000002103"	538	234	34	4	43
"ENSGALG00000002105"	5	8	405	7	3
"ENSGALG00000002108"	6	11	301	3	3
"ENSGALG00000002123"	340	40	211	12	20
"ENSGALG00000002125"	363	6664	303	90	248
"ENSGALG00000002129"	1749	177	164	60	86
"ENSGALG00000002132"	271	1	39	7	1
"ENSGALG00000002145"	1572	379	312	176	207
"ENSGALG00000002150"	526	19	47	15	11
"ENSGALG00000002162"	1002	347	4748	3073	171
"ENSGALG00000002165"	721	4	204	203	5
"ENSGALG00000002182"	1	10	3	592	1
"ENSGALG00000002186"	0	2290	0	4	3054
"ENSGALG00000002187"	1408	1272	15511	3574	702
"ENSGALG00000002193"	2081	514	149	9	94
"ENSGALG00000002200"	0	0	12290	344	3
"ENSGALG00000002204"	1260	26	83	9	5
"ENSGALG00000002207"	23	4	1077	6	6
"ENSGALG00000002234"	633	76	130	150	3
"ENSGALG00000002237"	6061	803	3489	714	381
"ENSGALG00000002240"	1374	130	88	22	50
"ENSGALG00000002242"	951	7	98	0	1
"ENSGALG00000002266"	1153	1	1821	0	3
"ENSGALG00000002298"	300	118	14	1	1
"ENSGALG00000002311"	109	135	1451	474	20
"ENSGALG00000002312"	1263	276	17	6	77
"ENSGALG00000002325"	21	4	4	1969	0
"ENSGALG00000002335"	8152	18	12	9	8
"ENSGALG00000002358"	645	1998	28528	8795	33
"ENSGALG00000002369"	6	7	446	882	2
"ENSGALG00000002371"	4577	2606	218	140	1638
"ENSGALG00000002386"	1101	36	18	8	11
"ENSGALG00000002389"	153	127	1754	28	6
"ENSGALG00000002390"	25	3	1213	137	4
"ENSGALG00000002397"	145	61	2975	27312	1110
"ENSGALG00000002412"	585	164	5729	1311	313
"ENSGALG00000002431"	1293	1269	588	17533	530
"ENSGALG00000002437"	1976	90	177	20	25
"ENSGALG00000002442"	19	1	1359	3	1
"ENSGALG00000002443"	3189	5	0	0	0
"ENSGALG00000002452"	0	85	574	126	432
"ENSGALG00000002455"	543	31	10	9	2
"ENSGALG00000002461"	442	37	210	18	17
"ENSGALG00000002466"	85	27	1635	756	11
"ENSGALG00000002467"	6210	829	5812	82	328
"ENSGALG00000002470"	973	204	539	7166	173
"ENSGALG00000002479"	38	28	2345	6595	450
"ENSGALG00000002484"	1529	170	2504	458	34
"ENSGALG00000002485"	637	613	2142	640	20306
"ENSGALG00000002492"	139	70	126	502	27
"ENSGALG00000002496"	5	0	335	10	0
"ENSGALG00000002503"	9	0	311	4	1
"ENSGALG00000002507"	23	2	3	902	6
"ENSGALG00000002515"	15543	236	16	27	33
"ENSGALG00000002517"	107	32	439	159	24
"ENSGALG00000002519"	703	85	116	168	29
"ENSGALG00000002525"	4520	42	34	22	25
"ENSGALG00000002532"	38	810	257	161	92
"ENSGALG00000002551"	137	727	256	76	133
"ENSGALG00000002554"	458	158	83	11	21
"ENSGALG00000002562"	459	2441	707	236	231
"ENSGALG00000002563"	30	21321	27	3	9
"ENSGALG00000002564"	3866	637	62	33	102
"ENSGALG00000002576"	199	101	1135	72	25
"ENSGALG00000002579"	1354	307	302	54	468
"ENSGALG00000002583"	1195	273	150	258	48
"ENSGALG00000002597"	8	691	3	0	1061
"ENSGALG00000002606"	31761	1064	1484	184	422
"ENSGALG00000002631"	72	335	21	9	14
"ENSGALG00000002638"	78	278	85	52	2680
"ENSGALG00000002639"	1010	176	98	44	85
"ENSGALG00000002643"	70	50	57	55	559
"ENSGALG00000002645"	13	2	650	1	0
"ENSGALG00000002646"	956	14	17	3	50
"ENSGALG00000002647"	31	2	818	0	2
"ENSGALG00000002666"	2471	218	4779	283	355
"ENSGALG00000002671"	318	0	6	0	1
"ENSGALG00000002679"	551	28	151	179	12
"ENSGALG00000002683"	935	553	13143	3754	569
"ENSGALG00000002688"	3	4	4	7936	1
"ENSGALG00000002707"	1120	25	102	96	21
"ENSGALG00000002708"	6241	58	137	61	9182
"ENSGALG00000002714"	425	15	62	0	13
"ENSGALG00000002722"	102	1129	946	2932	33
"ENSGALG00000002728"	269	100	9	4	299
"ENSGALG00000002742"	1837	9	85	54	6
"ENSGALG00000002744"	649	0	31	6	1
"ENSGALG00000002750"	4554	925	1372	538	535
"ENSGALG00000002763"	66	1255	36	386	227
"ENSGALG00000002764"	7392	1062	264	151	448
"ENSGALG00000002771"	149	2733	675	425	342
"ENSGALG00000002784"	407	532	3469	1235	162
"ENSGALG00000002789"	13073	160	27	3	40
"ENSGALG00000002790"	608	666	124	15	33
"ENSGALG00000002802"	5877	4	260	102	4
"ENSGALG00000002804"	436	109	45	25	1
"ENSGALG00000002816"	532	924	3207	821	93
"ENSGALG00000002831"	256	388	400	1738	48
"ENSGALG00000002840"	3430	1	45	1	2
"ENSGALG00000002845"	45	3336	6	0	239
"ENSGALG00000002849"	253	139	3819	1139	82
"ENSGALG00000002855"	35	48	604	319	49
"ENSGALG00000002864"	406	105	5	0	21
"ENSGALG00000002886"	0	981	0	0	0
"ENSGALG00000002899"	2100	198	221	633	150
"ENSGALG00000002907"	0	66	54	0	334521
"ENSGALG00000002911"	227	880	7	0	210
"ENSGALG00000002921"	3222	462	689	398	743
"ENSGALG00000002931"	7	8	1414	6	3
"ENSGALG00000002945"	169	55	1052	79	20
"ENSGALG00000002952"	236	41	1150	51	257
"ENSGALG00000002955"	289	2105	221	263	557
"ENSGALG00000002957"	66	40	4192	17	6
"ENSGALG00000002958"	2825	394	4	1	2
"ENSGALG00000002960"	28	8	5612	10455	7
"ENSGALG00000002967"	1032	179	174	81	226
"ENSGALG00000002974"	3200	1	7	1	3
"ENSGALG00000002987"	31	74	182	6788	54
"ENSGALG00000002988"	2061	30	17827	12802	18
"ENSGALG00000002990"	1307	611	5985	1255	205
"ENSGALG00000002993"	1427	0	32	10	0
"ENSGALG00000003010"	1220	200	373	110	89
"ENSGALG00000003011"	22	29	752	7	15
"ENSGALG00000003016"	11	8	9	2402	4
"ENSGALG00000003022"	76	27	3550	2254	37
"ENSGALG00000003026"	2467	693	341	189	594
"ENSGALG00000003033"	565	51	174	22	14
"ENSGALG00000003034"	257	10	2	1	0
"ENSGALG00000003059"	2478	397	616	307	123
"ENSGALG00000003063"	53	37	1276	122	28
"ENSGALG00000003065"	2264	315	912	160	269
"ENSGALG00000003073"	47	31	1179	356	16
"ENSGALG00000003074"	319	609	113	75	3483
"ENSGALG00000003075"	11	1	77842	2	17
"ENSGALG00000003078"	3336	813	498	1016	265
"ENSGALG00000003113"	2423	137	415	95	19
"ENSGALG00000003123"	3173	191	34	7	22
"ENSGALG00000003126"	3278	68	1598	2	547
"ENSGALG00000003131"	651	108	117	95	51
"ENSGALG00000003146"	1842	118	162	12	95
"ENSGALG00000003160"	2912	195	69	42	248
"ENSGALG00000003161"	3388	204	78	54	208
"ENSGALG00000003163"	4169	490	6	3	8
"ENSGALG00000003164"	280	67	20	10	11
"ENSGALG00000003168"	121	123	689	29	31
"ENSGALG00000003172"	106	53	1717	9	169
"ENSGALG00000003174"	387	4	3	0	0
"ENSGALG00000003205"	601	1317	4693	1265	10040
"ENSGALG00000003213"	21	13	728	112	13
"ENSGALG00000003226"	70	3087	47	35	2179
"ENSGALG00000003227"	925	24	199	432	16
"ENSGALG00000003248"	3405	469	958	312	837
"ENSGALG00000003256"	9020	1857	2876	602	1548
"ENSGALG00000003261"	655	13143	1244	541	3878
"ENSGALG00000003281"	475	759	3408	529	93
"ENSGALG00000003283"	68	1226	98	48	461
"ENSGALG00000003285"	129	3	3517	25	2
"ENSGALG00000003286"	1094	49	39	4	14
"ENSGALG00000003321"	84	91	704	208	33
"ENSGALG00000003336"	15	382	16	47	11
"ENSGALG00000003345"	1679	2343	104	98	65
"ENSGALG00000003353"	250	229	190	35	924
"ENSGALG00000003357"	1166	612	6550	3199	689
"ENSGALG00000003374"	1	5	1061	657	1
"ENSGALG00000003409"	1977	969	269	146	216
"ENSGALG00000003432"	20	3	2151	476	21
"ENSGALG00000003434"	632	118	291	70	49
"ENSGALG00000003457"	7519	495	538	682	259
"ENSGALG00000003470"	392	102	4	0	2
"ENSGALG00000003473"	191	33	2187	585	15
"ENSGALG00000003475"	2631	446	1518	13565	206
"ENSGALG00000003495"	1106	1206	10414	5628	513
"ENSGALG00000003499"	2992	236	237	168	40
"ENSGALG00000003505"	105	126	1070	387	230
"ENSGALG00000003507"	1494	372	450	176	206
"ENSGALG00000003510"	931	150	284	64	185
"ENSGALG00000003521"	1186	798	3749	693	257287
"ENSGALG00000003529"	325	58	63	12	526
"ENSGALG00000003536"	908	218	253	65	47
"ENSGALG00000003537"	89	1	1167	727	0
"ENSGALG00000003539"	252	104	4134	902	22
"ENSGALG00000003553"	37	2	4	369	0
"ENSGALG00000003558"	276	99	118	819	35
"ENSGALG00000003562"	5141	196	17	4	10
"ENSGALG00000003567"	272	37	18	0	17
"ENSGALG00000003568"	743	86	264	105	33
"ENSGALG00000003569"	363	47	155	19	10
"ENSGALG00000003570"	544	773	2065	23284	289
"ENSGALG00000003580"	404	3652	438	55	848
"ENSGALG00000003582"	6395	2	9	0	23
"ENSGALG00000003589"	1634	26	522	67077	15
"ENSGALG00000003601"	16037	2531	1332	278	1419
"ENSGALG00000003604"	75	48	445	127	20
"ENSGALG00000003614"	1198	187	219	103	27
"ENSGALG00000003645"	837	275	136	83	13
"ENSGALG00000003648"	532	99	50	4	107
"ENSGALG00000003657"	449	1	40	0	1
"ENSGALG00000003675"	4298	515	156	17	95
"ENSGALG00000003677"	453	71	27	6	15
"ENSGALG00000003689"	100	43	494	480	15
"ENSGALG00000003695"	355	34	381	83	23
"ENSGALG00000003699"	73	347	47	5	65
"ENSGALG00000003713"	3	15	1369	1	0
"ENSGALG00000003726"	10	258	172	4	19
"ENSGALG00000003765"	2	0	756	913	0
"ENSGALG00000003767"	362	34	38	13	19
"ENSGALG00000003777"	2215	1	4	0	0
"ENSGALG00000003778"	1233	886	503	216	6865
"ENSGALG00000003800"	256	673	179	127	2821
"ENSGALG00000003802"	701	194	173	30	167
"ENSGALG00000003803"	403	246	3676	148	211
"ENSGALG00000003818"	4533	137	345	176	30
"ENSGALG00000003819"	2435	55	140	383	4
"ENSGALG00000003821"	631	57	21	12	116
"ENSGALG00000003829"	5132	8	11	0	25
"ENSGALG00000003833"	8754	33	16	3	5
"ENSGALG00000003837"	314	20	118	40	13
"ENSGALG00000003838"	871	6	21	102	19
"ENSGALG00000003839"	1362	4	2821	20	0
"ENSGALG00000003841"	2462	27	8	24	4
"ENSGALG00000003854"	256	29	188	26	23
"ENSGALG00000003859"	468	4	4	0	0
"ENSGALG00000003876"	72	20	43	508	12
"ENSGALG00000003886"	89	416	156	5	726
"ENSGALG00000003904"	260	0	230	7	0
"ENSGALG00000003911"	1771	0	1	1	1
"ENSGALG00000003925"	0	154	6	2	3102
"ENSGALG00000003930"	3565	1259	26	6	6
"ENSGALG00000003932"	577	206	1672	262	79
"ENSGALG00000003933"	3283	940	476	131	28
"ENSGALG00000003935"	22	54	1159	470	96
"ENSGALG00000003939"	250	1483	401	178	129
"ENSGALG00000003944"	414	102	17	3	17
"ENSGALG00000003973"	115	125	1121	270	125
"ENSGALG00000004004"	936	356	449	263	15302
"ENSGALG00000004005"	1039	632	21519	3215	513
"ENSGALG00000004009"	32	56	662	168	18
"ENSGALG00000004044"	1	13485	6	1	9
"ENSGALG00000004048"	10257	3368	2085	579	475
"ENSGALG00000004049"	3215	231	288	195	809
"ENSGALG00000004057"	354	347	1138	3176	69
"ENSGALG00000004058"	222	34	360	781	15
"ENSGALG00000004059"	393	42	45	13	7
"ENSGALG00000004063"	1534	391	292	150	197
"ENSGALG00000004070"	195	215	1573	509	84
"ENSGALG00000004071"	1537	15	26	1	9
"ENSGALG00000004074"	692	5	9	4	2
"ENSGALG00000004078"	631	12	1114	461	8
"ENSGALG00000004083"	4710	17	0	1	3
"ENSGALG00000004096"	290	11	71	8	1
"ENSGALG00000004103"	631	6	10	1	0
"ENSGALG00000004121"	368	1050	77	55	51
"ENSGALG00000004129"	11	21	13	39578	21
"ENSGALG00000004141"	13	21	12	31503	41
"ENSGALG00000004143"	10633	1380	4444	1434	551
"ENSGALG00000004146"	864	8	9	4	71
"ENSGALG00000004162"	423	39	60	30	134
"ENSGALG00000004163"	0	0	1927	0	0
"ENSGALG00000004170"	191	338	1459	56	76
"ENSGALG00000004196"	2	3	16726	5125	9
"ENSGALG00000004199"	19	32	274	145	15
"ENSGALG00000004205"	350	190	1123	364	36
"ENSGALG00000004209"	547	22	21	5	7
"ENSGALG00000004234"	30	72	333	121	18
"ENSGALG00000004250"	4244	123	91	51	22
"ENSGALG00000004261"	10	472	161	3039	91
"ENSGALG00000004262"	0	0	283	1	0
"ENSGALG00000004267"	2	15	2787	1016	2
"ENSGALG00000004270"	895	178	149	24	129
"ENSGALG00000004280"	0	35	429	137	1
"ENSGALG00000004285"	79	4	3524	621	1
"ENSGALG00000004286"	64	10	345	71	22
"ENSGALG00000004293"	2	17	164	23759	10
"ENSGALG00000004294"	68	554	1574	319	50
"ENSGALG00000004297"	343	14	15	4	2
"ENSGALG00000004306"	1644	31	120	9	17
"ENSGALG00000004309"	823	37	4	3	2
"ENSGALG00000004310"	3760	328	556	131	48
"ENSGALG00000004332"	25	9	1159	638	5
"ENSGALG00000004334"	136	2354	802	67	14
"ENSGALG00000004341"	18	52	5770	128	13
"ENSGALG00000004343"	112	48	12830	42062	14
"ENSGALG00000004345"	136	145	194	824	48
"ENSGALG00000004346"	26	8	1669	575	0
"ENSGALG00000004350"	358	58	60	38	64
"ENSGALG00000004364"	4302	357	559	162	37
"ENSGALG00000004367"	10	19	565	4142	5
"ENSGALG00000004370"	145	61	169	83	874
"ENSGALG00000004373"	11	0	4024	9	2
"ENSGALG00000004376"	40	263	54	4	218
"ENSGALG00000004386"	340	58	64	17	4
"ENSGALG00000004394"	275	9	38	3	1
"ENSGALG00000004398"	184	128	1663	159	27
"ENSGALG00000004418"	529	137	25	4	0
"ENSGALG00000004424"	14	21	368	520	17
"ENSGALG00000004425"	912	186	316	77	65
"ENSGALG00000004436"	4	24	1494	270	7
"ENSGALG00000004448"	740	0	2	0	0
"ENSGALG00000004449"	4	0	2336	3134	2
"ENSGALG00000004472"	5958	7	36	5	2
"ENSGALG00000004476"	396	515	98	24	63
"ENSGALG00000004491"	119	24	3974	954	46
"ENSGALG00000004492"	74	33	287	42	34
"ENSGALG00000004503"	354	260	1703	143	470
"ENSGALG00000004517"	46	88	540	139	62
"ENSGALG00000004526"	1998	1	0	0	0
"ENSGALG00000004530"	2305	10	2	0	223
"ENSGALG00000004545"	4	0	339	2	0
"ENSGALG00000004574"	4	40553	16	0	10
"ENSGALG00000004582"	4	47816	8	0	32
"ENSGALG00000004591"	16	54	93	31012	4
"ENSGALG00000004604"	107	207	2201	464	321
"ENSGALG00000004614"	538	245	5191	460	54
"ENSGALG00000004618"	309	2944	643	161	291
"ENSGALG00000004623"	149	189	853	132	50
"ENSGALG00000004631"	842	277	33	2	5
"ENSGALG00000004637"	165	203	1335	394	25
"ENSGALG00000004642"	4487	6	183	0	4
"ENSGALG00000004657"	631	60	98	53	5
"ENSGALG00000004669"	293	15	1774	25	33
"ENSGALG00000004719"	23188	8055	3622	1960	2323
"ENSGALG00000004721"	320	1389	4	0	390
"ENSGALG00000004728"	476	968	4838	302	205
"ENSGALG00000004734"	258	94	32	7	52
"ENSGALG00000004740"	2596	53	70	11	11
"ENSGALG00000004758"	392	16	5	1	3
"ENSGALG00000004760"	50	93	817	80	37
"ENSGALG00000004769"	22852	2649	5273	5389	2906
"ENSGALG00000004771"	217	150	165	1246	27
"ENSGALG00000004778"	288	63	12237	7	4
"ENSGALG00000004801"	1450	868	1139	600	18889
"ENSGALG00000004814"	55	5	338	370	1
"ENSGALG00000004840"	928	9	4	4	0
"ENSGALG00000004849"	1265	35	16	12	2
"ENSGALG00000004852"	15812	211	114	514	39
"ENSGALG00000004860"	1577	40	4942	4503	14
"ENSGALG00000004878"	570	93	678	80	18
"ENSGALG00000004879"	1299	2	32	0	1
"ENSGALG00000004889"	2789	1089	352	70	58
"ENSGALG00000004899"	1194	521	7343	794	290
"ENSGALG00000004901"	4410	1343	1255	598	251
"ENSGALG00000004902"	8726	999	2726	2018	244
"ENSGALG00000004917"	1295	13	7	0	3
"ENSGALG00000004921"	3203	3	4	0	10
"ENSGALG00000004936"	482	46	109	7	3
"ENSGALG00000004945"	10	1	4296	0	1
"ENSGALG00000004946"	23	3	286	17	5
"ENSGALG00000004948"	78	142	603	141	61
"ENSGALG00000004955"	2468	9	50	11	9
"ENSGALG00000004956"	9841	3263	4460	3044	57504
"ENSGALG00000004966"	422	3	0	0	0
"ENSGALG00000004980"	980	227	67	243	133
"ENSGALG00000004986"	758	470	70	19	119
"ENSGALG00000004999"	1061	200	312	171	68
"ENSGALG00000005000"	36	31	40	394	66
"ENSGALG00000005011"	400	66	5	3	46
"ENSGALG00000005019"	10	13	0	1	576
"ENSGALG00000005031"	1865	10	118	8	18
"ENSGALG00000005042"	2541	581	927	466	110
"ENSGALG00000005043"	3	413	152	0	29
"ENSGALG00000005046"	143	154	1589	5186	41
"ENSGALG00000005057"	1238	145	2556	4874	411
"ENSGALG00000005071"	1613	1753	9773	1050	539
